"Scientific.Names","Common.Names","Genus","Family","Latitude","Longitude"
"Erica corifolia","","Erica","Ericaceae","-34.090326","18.429022"
"Erica corifolia","","Erica","Ericaceae","-34.093772","18.433578"
"Erica corifolia","","Erica","Ericaceae","-34.093839","18.432833"
"Erica corifolia","","Erica","Ericaceae","-34.094485","18.431746"
"Erica corifolia","","Erica","Ericaceae","-34.094187","18.4381"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.20679758","18.44005567"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.10884086","18.45322516"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09885","18.45148833"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09967167","18.45204833"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09877892","18.45173319"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09904261","18.4510196"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.099252","18.451588"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09939164","18.44870553"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09889167","18.45143833"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09885","18.45148833"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09877892","18.45173319"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09904261","18.4510196"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.099252","18.451588"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.09889167","18.45143833"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.20679758","18.44005567"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae","-34.175275","18.379666"
"Erica pyxidiflora","","Erica","Ericaceae","-34.078134","18.3892"
"Erica pyxidiflora","","Erica","Ericaceae","-34.098258","18.448706"
"Erica pyxidiflora","","Erica","Ericaceae","-34.099736","18.45233"
"Erica pyxidiflora","","Erica","Ericaceae","-34.099367","18.451872"
"Erica pyxidiflora","","Erica","Ericaceae","-34.10151","18.449579"
"Erica pyxidiflora","","Erica","Ericaceae","-34.10107","18.448324"
"Erica pyxidiflora","","Erica","Ericaceae","-34.10173","18.452745"
"Erica pyxidiflora","","Erica","Ericaceae","-34.100099","18.450554"
"Erica pyxidiflora","","Erica","Ericaceae","-34.100794","18.453942"
"Erica pyxidiflora","","Erica","Ericaceae","-34.107227","18.440241"
"Erica pyxidiflora","","Erica","Ericaceae","-34.110126","18.461027"
"Erica pyxidiflora","","Erica","Ericaceae","-34.179231","18.374584"
"Erica pyxidiflora","","Erica","Ericaceae","-34.177967","18.389984"
"Erica pyxidiflora","","Erica","Ericaceae","-34.18153","18.39478"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.854895","18.610391"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.855103","18.610378"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.939455","18.415179"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.94984","18.421635"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.9496","18.421678"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.946397","18.425611"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.949966","18.432287"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.949865","18.4334"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.949601","18.43219"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.945807","18.449983"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.949562","18.453175"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.952121","18.415473"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.951913","18.415534"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.951267","18.420767"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.954187","18.421122"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.952963","18.421528"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.954982","18.42548"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.952717","18.429992"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.954609","18.426653"
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae","-33.95068811","18.43241626"
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae","-33.95054589","18.43221433"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.95002","18.430863"
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae","-33.95138842","18.43708748"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.953936","18.437403"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.95332","18.461837"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.953392","18.461972"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.953422","18.461825"
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae","-33.95660833","18.41472833"
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae","-33.95660833","18.41472833"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.959207","18.414409"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.957941","18.416806"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.958226","18.416225"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.957998","18.416071"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.955195","18.424487"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.955625","18.422926"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.955667","18.422907"
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae","-33.95715387","18.42640258"
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae","-33.95766375","18.42706685"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.957396","18.425567"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.956253","18.459487"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.955753","18.459153"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.955608","18.459183"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.961595","18.407653"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.961084","18.406705"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.960817","18.405978"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.967864","18.404157"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.968032","18.409078"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.965212","18.407148"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.968853","18.43102"
"Gladiolus carneus","","Gladiolus","Iridaceae","-33.968283","18.443092"
"Hermas villosa","","Hermas","Apiaceae","-33.9359","18.389486"
"Hermas villosa","","Hermas","Apiaceae","-33.954261","18.438728"
"Hermas villosa","","Hermas","Apiaceae","-33.954072","18.437539"
"Hermas villosa","","Hermas","Apiaceae","-33.954409","18.435733"
"Hermas villosa","","Hermas","Apiaceae","-33.951966","18.444129"
"Hermas villosa","","Hermas","Apiaceae","-33.957887","18.429172"
"Hermas villosa","","Hermas","Apiaceae","-33.95837","18.428437"
