"Scientific Names","Common Names","Genus","Family","Latitude","Longitude","Elevation","Sample Number"
"Gladiolus tristis","Marsh Afrikaner","Gladiolus","Iridaceae",-33.96361387,18.4473321,290,5
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae",-34.11199239,18.46045492,138,1
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae",-34.07926563,18.39153774,512,2
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae",-33.9771375,18.41978455,648,3
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae",-34.09111111,18.42638889,247,4
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae",-34.07535773,18.40057243,457,5
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae",-33.98609772,18.415889,718,6
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae",-33.97737778,18.41954236,648,7
"Indigofera complanata","Clay Indigo","Indigofera","Fabaceae",-34.05509708,18.4006663,227,1
"Indigofera complanata","Clay Indigo","Indigofera","Fabaceae",-34.06627,18.37549,497,2
"Indigofera complanata","Clay Indigo","Indigofera","Fabaceae",-34.00767778,18.35431333,391,3
"Indigofera complanata","Clay Indigo","Indigofera","Fabaceae",-33.933524,18.381249,89,4
"Indigofera complanata","Clay Indigo","Indigofera","Fabaceae",-33.94958891,18.45334132,210,5
"Leucadendron laureolum","Golden Conebush","Leucadendron","Proteaceae",-34.11213493,18.46038904,138,1
"Leucadendron laureolum","Golden Conebush","Leucadendron","Proteaceae",-34.09090971,18.42353147,302,2
"Leucadendron laureolum","Golden Conebush","Leucadendron","Proteaceae",-34.08899895,18.4121439,360,3
"Leucadendron laureolum","Golden Conebush","Leucadendron","Proteaceae",-34.11311392,18.43470424,440,4
"Leucadendron laureolum","Golden Conebush","Leucadendron","Proteaceae",-34.05141296,18.43259496,40,5
"Leucadendron laureolum","Golden Conebush","Leucadendron","Proteaceae",-34.09097218,18.42673872,247,6
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.9515644,18.4552714,263,1
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.9515362,18.4562099,263,2
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.951404,18.45643978,263,3
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.95204564,18.45659956,263,4
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.9476927,18.454138,210,5
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.94770679,18.45400332,210,6
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.9482922,18.4577151,210,7
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.9484118,18.4577908,210,8
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.94914204,18.4553998,210,9
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.94928815,18.45528786,210,10
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.95033337,18.45441846,263,11
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.962766,18.44557997,290,12
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.94914204,18.4553998,210,13
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.962766,18.44557997,290,14
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-34.00211239,18.41972113,203,15
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.987909,18.423132,459,16
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-34.00224964,18.42010504,203,17
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.99624418,18.4229872,332,18
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-34.00211239,18.41972113,203,19
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-34.00523975,18.41805977,203,20
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-34.00533574,18.41680092,203,21
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-34.00544858,18.4165062,375,22
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-34.00224964,18.42010504,203,23
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.99624418,18.4229872,332,24
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.99624418,18.4229872,332,25
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.93645217,18.39570497,263,26
"Leucadendron argenteum","Silvertree","Leucadendron","Proteaceae",-33.93645217,18.39570497,263,27
"Leucadendron macowanii","Wattleleaf Conebush","Leucadendron","Proteaceae",-34.25991,18.46095,143,1
"Leucadendron macowanii","Wattleleaf Conebush","Leucadendron","Proteaceae",-34.30326498,18.4588562,43,2
"Leucadendron macowanii","Wattleleaf Conebush","Leucadendron","Proteaceae",-34.25983,18.46097697,143,3
"Leucadendron macowanii","Wattleleaf Conebush","Leucadendron","Proteaceae",-34.26003397,18.46128797,143,4
"Leucadendron macowanii","Wattleleaf Conebush","Leucadendron","Proteaceae",-34.2640457,18.4658106,143,5
"Leucadendron salignum","Common Sunshine Conebush","Leucadendron","Proteaceae",-34.18714675,18.37684527,258,1
"Leucadendron salignum","Common Sunshine Conebush","Leucadendron","Proteaceae",-33.96708491,18.3950687,766,2
"Leucadendron salignum","Common Sunshine Conebush","Leucadendron","Proteaceae",-34.0712738,18.39879799,492,3
"Leucadendron salignum","Common Sunshine Conebush","Leucadendron","Proteaceae",-34.07325982,18.39675297,492,4
"Leucadendron salignum","Common Sunshine Conebush","Leucadendron","Proteaceae",-34.09298069,18.40971975,301,5
"Leucadendron strobilinum","Peninsula Conebush","Leucadendron","Proteaceae",-33.96603394,18.41928101,907,1
"Leucadendron strobilinum","Peninsula Conebush","Leucadendron","Proteaceae",-33.95901541,18.40544812,863,2
"Leucadendron strobilinum","Peninsula Conebush","Leucadendron","Proteaceae",-33.96229833,18.40714333,863,3
"Leucadendron strobilinum","Peninsula Conebush","Leucadendron","Proteaceae",-33.96388889,18.40694444,863,4
"Leucadendron strobilinum","Peninsula Conebush","Leucadendron","Proteaceae",-33.96038135,18.40421118,863,5
"Leucadendron strobilinum","Peninsula Conebush","Leucadendron","Proteaceae",-33.95864833,18.40538667,863,6
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-34.07934461,18.41395395,334,1
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-34.00177333,18.40588333,420,2
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-34.09219622,18.40202918,329,3
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-33.99112255,18.37911543,666,4
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-34.086751,18.420491,302,5
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-34.25242293,18.4340355,150,6
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-34.26931111,18.46417958,153,7
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-34.33783,18.46873,27,8
"Leucadendron xanthoconus","Sickleleaf Conebush","Leucadendron","Proteaceae",-34.05528333,18.36641333,38,9
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.05375,18.4333,40,1
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.05546729,18.36595414,38,2
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.05546729,18.36595414,38,3
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.0522574,18.4231522,57,4
